longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,Final_Prediction
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,<1H OCEAN,504949.5
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,<1H OCEAN,209420.56
-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,<1H OCEAN,200699.73
-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,<1H OCEAN,158924.08
-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,NEAR OCEAN,226984.94
-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,<1H OCEAN,160873.38
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,NEAR BAY,142905.58
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,NEAR OCEAN,445213.8
-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,<1H OCEAN,263599.25
-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,NEAR OCEAN,291937.06
-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,<1H OCEAN,330262.66
-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,INLAND,62704.133
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,INLAND,230824.8
-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,<1H OCEAN,287029.94
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,<1H OCEAN,239968.23
-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,INLAND,130225.57
-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,INLAND,98965.09
-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,INLAND,89581.48
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,<1H OCEAN,328676.8
-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,<1H OCEAN,407812.97
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,<1H OCEAN,185455.58
-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,<1H OCEAN,261919.14
-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,<1H OCEAN,200895.77
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,INLAND,90318.36
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,INLAND,127075.91
-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,INLAND,57286.164
-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,<1H OCEAN,322481.78
-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,INLAND,170117.12
-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,INLAND,68502.805
-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,INLAND,161827.52
-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,INLAND,167902.08
-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,INLAND,87793.77
-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,<1H OCEAN,189427.0
-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,INLAND,85193.8
-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,INLAND,52057.566
-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,<1H OCEAN,380613.25
-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,NEAR OCEAN,131508.28
-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,<1H OCEAN,228318.33
-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,INLAND,81671.46
-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,<1H OCEAN,341634.22
-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,INLAND,247953.64
-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,<1H OCEAN,317126.78
-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,<1H OCEAN,190034.83
-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,NEAR BAY,293263.4
-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,<1H OCEAN,212891.88
-117.96,34.14,33.0,1994.0,405.0,993.0,403.0,3.766,INLAND,204862.6
-117.55,34.0,17.0,3583.0,700.0,1587.0,719.0,2.6979,INLAND,149779.94
-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,NEAR BAY,176506.16
-117.43,34.07,18.0,2453.0,537.0,1503.0,500.0,2.3768,INLAND,108390.17
-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,<1H OCEAN,268465.2
-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,INLAND,94017.234
-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,INLAND,78167.22
-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,NEAR OCEAN,390545.16
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,<1H OCEAN,192406.66
-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,NEAR OCEAN,514557.06
-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,NEAR OCEAN,175713.48
-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,NEAR BAY,393087.6
